,term,change
0,gay,-24.0
1,lesbian,-22.0
2,lgbt,-21.0
3,sex,-15.0
4,bisexual,-13.0
5,queer,-9.0
6,msm,-8.0
7,questioning,-6.0
8,glbt,-3.0
9,same-sex couple,-1.0
10,same-sex relationship,-1.0
11,intersex,-1.0
38,same-sex couples,1.0
39,straight,1.0
40,same-sex marriage,1.0
41,homophobia,1.0
42,gender dysphoria,2.0
43,gender nonconforming,2.0
44,gender identity,2.0
45,gender expression,2.0
46,ally,2.0
47,hormone therapy,4.0
48,cisgender,6.0
49,sexual orientation,7.0
50,heterosexual,10.0
51,gender minority,10.0
52,lgbtq,13.0
53,lgb,18.0
54,transgender,24.0
55,gender,37.0
56,hiv,90.0
