,term,change
0,same-sex couple,-100.0
1,same-sex relationship,-100.0
2,queer,-11.606760771277425
3,msm,-8.916531751272828
4,questioning,-8.117553959617329
5,glbt,-6.1100383318442475
6,intersex,-5.492341215606389
7,lesbian,-3.7477908937077475
8,gay,-2.7255194854039932
9,sex,-2.6593168004217294
10,lgbt,-2.2699116324448543
11,bisexual,-1.9305291332373797
12,gender role,-0.24191572758451851
13,wsw,-0.24191572758451851
14,two spirit,-0.24191572758451851
15,genderqueer,-0.24191572758451851
16,sex reassignment,-0.2419157275845074
17,outing,-0.2419157275845074
18,pansexual,-0.2419157275845074
19,polyamorous,-0.2419157275845074
20,heterosexism,-0.2419157275845074
21,biphobia,-0.2419157275845074
22,transsexual,-0.2419157275845074
23,assigned sex,-0.2419157275845074
24,same-sex attraction,-0.2419157275845074
25,gender identity,0.46558841619148694
26,sexual orientation,1.7086613391945837
27,transgender,2.109944805360442
28,lgbtq,2.595841593074999
29,same-sex couples,2.9760869908805
30,straight,3.320872996430313
31,homophobia,3.7484076433121016
32,gender dysphoria,5.458546230839234
33,same-sex marriage,5.6262068766752105
34,gender,5.940746111744422
35,heterosexual,7.373205209241096
36,gender nonconforming,9.258854203121736
37,gender expression,9.733892699657032
38,hiv,13.507284248705531
39,lgb,15.509360736481103
40,ally,33.01077902988732
41,gender minority,58.43931031501284
42,hormone therapy,66.26347378735913
43,cisgender,inf
