,department,pre,post,change
10,U.S. Social Security Administration,12.0,15.0,25.0
4,U.S. Department of Homeland Security,15.0,15.0,0.0
2,U.S. Department of Education,21.0,9.0,-57.14285714285714
1,Peace Corps,30.0,29.0,-3.3333333333333326
5,U.S. Department of Housing and Urban Development ,116.0,103.0,-11.206896551724132
7,U.S. Department of Labor,199.0,159.0,-20.100502512562812
9,U.S. Department of the Interior,420.0,380.0,-9.523809523809524
8,U.S. Department of Veterans Affairs,534.0,553.0,3.5580524344569264
0,Interagency Working Group,589.0,542.0,-7.979626485568758
6,U.S. Department of Justice,811.0,808.0,-0.36991368680641123
3,U.S. Department of Health and Human Services,5480.0,5712.0,4.233576642335768
