,term,change
0,sex,-8.0
1,msm,-8.0
2,glbt,-3.0
3,queer,-2.0
4,gay,-2.0
5,same-sex couple,-1.0
6,same-sex relationship,-1.0
7,lesbian,-1.0
8,questioning,-1.0
9,intersex,-1.0
39,same-sex couples,1.0
40,straight,1.0
41,gender nonconforming,1.0
42,gender expression,1.0
43,ally,2.0
44,gender minority,2.0
45,gender dysphoria,2.0
46,hormone therapy,3.0
47,bisexual,4.0
48,cisgender,6.0
49,gender identity,9.0
50,heterosexual,12.0
51,lgb,18.0
52,lgbt,24.0
53,lgbtq,27.0
54,gender,29.0
55,transgender,41.0
56,hiv,90.0
