,id,department,polarity,subjectivity,time
0,1,U.S. Department of Veterans Affairs,0.5999999828571434,0.19553072516463282,pre
1,2,U.S. Department of Veterans Affairs,0.6559139749682045,0.32347826030699434,pre
2,8,U.S. Department of Health and Human Services,0.9642856970663268,0.2994652390402928,pre
3,9,U.S. Department of Health and Human Services,0.6199999938,0.2004008012016016,pre
4,11,U.S. Department of Health and Human Services,0.5876288599213519,0.23373493919581942,pre
5,12,U.S. Department of Health and Human Services,0.6226415035599858,0.215447154033644,pre
6,13,U.S. Department of Health and Human Services,0.014084506843880186,0.22118379993400686,pre
7,14,U.S. Department of Health and Human Services,0.3538461511242604,0.2702702697083778,pre
8,15,U.S. Department of Health and Human Services,0.6666666620370371,0.2666666661728395,pre
9,22,U.S. Department of Justice,0.28531855916160864,0.35168046743707726,pre
10,26,U.S. Department of Health and Human Services,0.29365079248551273,0.46069469751244113,pre
11,34,U.S. Department of Health and Human Services,0.5238095175736962,0.22340425472498868,pre
12,37,U.S. Department of Health and Human Services,0.36679536537916846,0.21856540065943847,pre
13,38,U.S. Department of Health and Human Services,0.5222222193209877,0.2085747390398902,pre
14,39,U.S. Department of Health and Human Services,0.4731182770262458,0.20417124017105243,pre
15,40,U.S. Department of Health and Human Services,0.41176470346020766,0.22546419068240825,pre
16,41,U.S. Department of Health and Human Services,0.24489795668471473,0.18317756975106997,pre
17,42,U.S. Department of Health and Human Services,0.39999999000000025,0.20725388493650837,pre
18,43,U.S. Department of Health and Human Services,0.4042553148483477,0.29841269746535654,pre
19,44,U.S. Department of Health and Human Services,0.20930232071389954,0.2067307682368713,pre
20,45,U.S. Department of Health and Human Services,0.39999999000000025,0.20725388493650837,pre
21,46,U.S. Department of Health and Human Services,0.5599999888000002,0.23809523696145127,pre
22,47,U.S. Department of Health and Human Services,0.6315789390581719,0.2558922550306658,pre
23,48,U.S. Department of Health and Human Services,0.39999999333333347,0.22304832630837054,pre
24,49,U.S. Department of Health and Human Services,0.5499999980357143,0.24158757528767247,pre
25,50,U.S. Department of Health and Human Services,0.5051546339674781,0.24189526124215646,pre
26,51,U.S. Department of Health and Human Services,0.5051546339674781,0.24189526124215646,pre
27,52,U.S. Department of Health and Human Services,0.31972789006895275,0.26702997250950955,pre
28,55,U.S. Department of Health and Human Services,0.37499999862132355,0.29215896853688617,pre
29,56,U.S. Department of Health and Human Services,0.3166666640277778,0.2185792345745369,pre
30,57,U.S. Department of Health and Human Services,0.30769230177514806,0.24999999879807694,pre
31,58,U.S. Department of Health and Human Services,0.28985507036336905,0.28991596577748746,pre
32,59,U.S. Department of Health and Human Services,0.4782608487712674,0.1411042936128571,pre
33,60,U.S. Department of Health and Human Services,0.4358974331032216,0.23780487768627306,pre
34,61,U.S. Department of Health and Human Services,0.263565890451295,0.324937027298568,pre
35,62,U.S. Department of Health and Human Services,0.1666666643518519,0.23920265701261575,pre
36,63,U.S. Department of Health and Human Services,0.14503816683176973,0.2641129026933208,pre
37,64,U.S. Department of Health and Human Services,0.06521739059546315,0.197002140905777,pre
38,65,U.S. Department of Health and Human Services,0.33333332950191574,0.18629550281307172,pre
39,66,U.S. Department of Health and Human Services,0.4210526204986153,0.151999999392,pre
40,67,U.S. Department of Health and Human Services,0.38028168746280505,0.24315068451515293,pre
41,68,U.S. Department of Health and Human Services,-0.09782608642485822,0.22330097060279008,pre
42,70,U.S. Department of Health and Human Services,0.1737089193722586,0.22903225781824488,pre
43,71,U.S. Department of Health and Human Services,0.0512820506245891,0.23999999926153848,pre
44,72,U.S. Department of Health and Human Services,0.45283018654325385,0.28005283978856954,pre
45,73,U.S. Department of Health and Human Services,0.5172413703923902,0.23015872924540187,pre
46,74,U.S. Department of Health and Human Services,0.42307691494082855,0.27225130747512405,pre
47,75,U.S. Department of Health and Human Services,0.8048780291493164,0.2469879503193497,pre
48,76,U.S. Department of Health and Human Services,0.5406162449842682,0.32994454682999574,pre
49,77,U.S. Department of Health and Human Services,0.641791039986634,0.32367149680272583,pre
50,81,U.S. Department of Veterans Affairs,0.5999999828571434,0.19553072516463282,pre
51,82,U.S. Department of Veterans Affairs,0.6559139749682045,0.32347826030699434,pre
52,84,U.S. Department of Labor,0.4472727267305785,0.2889667249425686,pre
53,85,U.S. Department of Health and Human Services,0.38983050186727963,0.3241758223946383,pre
54,87,U.S. Department of Health and Human Services,0.3333333277777779,0.4054054026661797,pre
55,88,U.S. Department of Health and Human Services,0.94594592037984,0.26241134565665714,pre
56,89,U.S. Department of Health and Human Services,0.8666666088888928,0.26315789012003704,pre
57,91,U.S. Department of Health and Human Services,0.2972972892622354,0.1989247301133079,pre
58,92,U.S. Department of Health and Human Services,0.636363578512402,0.2075471658953365,pre
59,93,U.S. Department of Health and Human Services,0.4838709599375652,0.2561983460487672,pre
60,94,U.S. Department of Health and Human Services,0.8333332986111125,0.2790697641968632,pre
61,95,U.S. Department of Health and Human Services,0.7611940184896415,0.370165743811239,pre
62,96,U.S. Department of Health and Human Services,0.6901408353501292,0.22977346203956808,pre
63,97,U.S. Department of Health and Human Services,0.7037036950160038,0.4153846132544379,pre
64,98,U.S. Department of Health and Human Services,0.7471264281939491,0.28999999903333334,pre
65,99,U.S. Department of Health and Human Services,0.544303790578433,0.3657407390474966,pre
66,100,U.S. Department of Health and Human Services,0.522388051904656,0.2012012005969934,pre
67,105,U.S. Department of Health and Human Services,0.5555554938271674,0.20454544989669432,pre
68,106,U.S. Department of Health and Human Services,0.33333332679738575,0.38636363343663915,pre
69,107,U.S. Department of Health and Human Services,0.23999999760000004,0.309597522261308,pre
70,108,U.S. Department of Health and Human Services,0.5368956729341077,0.3067915688471572,pre
71,109,U.S. Department of Health and Human Services,0.4832214748885185,0.30690010267054574,pre
72,110,U.S. Department of Health and Human Services,0.7692307633136095,0.2658486702129884,pre
73,111,U.S. Department of Health and Human Services,0.8285714226530613,0.21116138731348208,pre
74,112,U.S. Department of Health and Human Services,0.6438356120285232,0.20621468897427303,pre
75,114,U.S. Department of Health and Human Services,0.6886227503675284,0.38927738836998277,pre
