,0
0,https://www.peacecorps.gov/faqs/lgbtq/
1,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4770844/
2,https://www.edi.nih.gov/people/sep/lgbti/safezone/questions-and-answers
3,https://www.mentalhealth.va.gov/lgbt/resources.asp
4,https://www.nps.gov/articles/lgbtqtheme-art.htm
5,https://www.cdc.gov/std/tg2015/epididymitis.htm
6,https://www.ovc.gov/pubs/forge/index.html
7,https://www.nps.gov/articles/lgbtqtheme-reno.htm
8,https://www.ncbi.nlm.nih.gov/books/nbk64810/
9,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3093259/
10,https://www.healthcare.gov/glossary/transgender-people/
11,https://www.ovc.gov/pubs/forge/sexual_assault.html
12,https://www.samhsa.gov/
13,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2669431/
14,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4442681/
15,https://www.cdc.gov/std/default.htm
16,https://www.ncbi.nlm.nih.gov/pubmed/21364939
17,https://www.benefits.va.gov/persona/lgb.asp
18,https://www.nps.gov/articles/kentucky-statewide-lgbtq-historic-context-narrative.htm
19,https://www.cdc.gov/lgbthealth/about.htm
20,https://www.cdc.gov/lgbthealth/youth.htm
21,https://www.cdc.gov/mmwr/volumes/68/wr/mm6803a3.htm
22,https://www.va.gov/vhapublications/viewpublication.asp?pub_id=6431
23,https://www.edi.nih.gov/people/sep/lgbti/FAQ
24,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3953767/
25,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3607666/
26,https://nicic.gov/lgbtq-youth-color-discipline-disparities-school-push-out-and-school-prison-pipeline
27,https://www.ada.gov/hiv/lgbti_brochure.html
28,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4714514/
29,https://www.cdc.gov/lgbthealth/youth-resources.htm/
30,https://www.cdc.gov/msmhealth/index.htm
31,https://www.nps.gov/articles/lgbtqtheme-history.htm
32,https://minorityhealth.hhs.gov/omh/browse.aspx?lvl=3&lvlid=57
33,https://www.nasa.gov/
34,https://www.muskogee.va.gov/services/lgbt/index.asp
35,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2443720/
36,https://www.syracuse.va.gov/services/lgbt/index.asp
37,https://www.ihs.gov/lgbt/culturalcompetence/
38,https://www.nps.gov/subjects/tellingallamericansstories/lgbtqthemestudy.htm
39,https://www.cdc.gov/mmwr/volumes/66/wr/mm6631a3.htm
40,https://www.nps.gov/articles/lgbtqheritageadminhist.htm
41,https://www.shreveport.va.gov/services/lgbt/index.asp
42,https://www.hudexchange.info/homelessness-assistance/resources-for-lgbt-homelessness/#resources-for-homeless-lgbt-individuals-in-crisis
43,https://www.dol.gov/ofccp/lgbt/lgbt_faqs.html
44,https://www.hiv.gov/topics/gay&bisexualmen
45,https://www.hiv.gov/events/awareness-days/transgender
46,https://www.cdc.gov/lgbthealth/transgender.htm
47,https://www.cdc.gov/actagainstaids/campaigns/transforminghealth/index.html
48,https://medlineplus.gov/gaylesbianbisexualandtransgenderhealth.html
49,https://www.sanfrancisco.va.gov/services/lgbt/index.asp
50,https://www.ncbi.nlm.nih.gov/books/nbk45095/
51,https://www.edi.nih.gov/people/sep/lgbti/safezone/terminology
52,https://www.ovc.gov/pubs/forge/sexual_numbers.html
53,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4233412/
54,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1070935/
55,https://www.northerncalifornia.va.gov/northerncalifornia/services/lgbt/index.asp
56,https://www.ihs.gov/lgbt/lgbtq2swg/
57,https://aidsinfo.nih.gov/guidelines/html/1/adult-and-adolescent-arv/538/transgender-people-with-hiv
58,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1447160/
59,https://youth.gov/topic/lgbtq
60,https://www.edi.nih.gov/people/sep/lgbti/resources/terminology
61,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4144327/
62,https://www.ncbi.nlm.nih.gov/pubmed/4056398/
63,https://www.cdc.gov/msmhealth/substance-abuse.htm
64,https://www.edi.nih.gov/people/sep/lgbti/safezone/about
65,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4695779/
66,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2377303/
67,https://www.cdc.gov/hiv/group/msm/bmsm.html
68,https://eric.ed.gov/?id=ed412049
69,https://www.ovc.gov/pubs/forge/transgender.html
70,https://www.hhs.gov/programs/topic-sites/lgbt/accesstohealthcare/affordablecareact/index.html
71,https://www.ncbi.nlm.nih.gov/pubmed/12866682
72,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3935708/
73,https://www.ncbi.nlm.nih.gov/books/nbk45100/
74,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4706747/
75,http://www.diversity.va.gov/programs/lgbt.aspx
76,https://www.ovcttac.gov/taskforceguide/eguide/4-supporting-victims/45-victim-populations/lgbtq-victims/
77,https://www.childwelfare.gov/topics/systemwide/diverse-populations/lgbtq/
78,https://www.cdc.gov/hiv/statistics/overview/ataglance.html
79,https://youth.gov/collaboration-profiles/lgbtq/collaboration-structure
80,https://youth.gov/youth-topics/lgbtq-youth
81,https://www.healthypeople.gov/2020/topics-objectives/topic/lesbian-gay-bisexual-and-transgender-health/ebrs
82,https://rarediseases.info.nih.gov/diseases/2446/gay-feinmesser-cohen-syndrome
83,https://www.uscis.gov/family/same-sex-marriages
84,https://healthfinder.gov/FindServices/Organizations/Organization.aspx?code=HR3450
85,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4498477/
86,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc3075534/
87,https://www.cdc.gov/hiv/group/gender/transgender/index.html
88,https://www.opm.gov/faqs/topic/benefitsforlgbt/index.aspx?cid=f2dde4b1-d1bf-413f-b3e8-33d46eec6a0c
